# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 41.006, 28.976 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"lat": "41.006381", "lon": "28.9758715", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "header": "true", "local_time": "false", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,0,0,0,2.762
2019-01-01 01:00,0,0,0,2.704
2019-01-01 02:00,0,0,0,2.462
2019-01-01 03:00,0,0,0,2.483
2019-01-01 04:00,0,0,0,2.541
2019-01-01 05:00,0,0.001,0.004,2.587
2019-01-01 06:00,0.034,0.009,0.046,3.328
2019-01-01 07:00,0.093,0.019,0.097,4.140
2019-01-01 08:00,0.144,0.030,0.139,4.769
2019-01-01 09:00,0.179,0.040,0.165,5.438
2019-01-01 10:00,0.191,0.046,0.171,6.046
2019-01-01 11:00,0.176,0.046,0.156,6.435
2019-01-01 12:00,0.145,0.046,0.125,6.562
2019-01-01 13:00,0.084,0.035,0.074,6.364
2019-01-01 14:00,0,0.005,0.011,5.677
2019-01-01 15:00,0,0,0,5.256
2019-01-01 16:00,0,0,0,5.121
2019-01-01 17:00,0,0,0,4.994
2019-01-01 18:00,0,0,0,5.004
2019-01-01 19:00,0,0,0,5.042
2019-01-01 20:00,0,0,0,5.081
2019-01-01 21:00,0,0,0,5.083
2019-01-01 22:00,0,0,0,5.000
2019-01-01 23:00,0,0,0,4.883
2019-01-02 00:00,0,0,0,4.660
2019-01-02 01:00,0,0,0,4.370
2019-01-02 02:00,0,0,0,4.044
2019-01-02 03:00,0,0,0,3.894
2019-01-02 04:00,0,0,0,4.063
2019-01-02 05:00,0,0.001,0.004,4.269
2019-01-02 06:00,0.040,0.011,0.050,5.134
2019-01-02 07:00,0.124,0.035,0.114,5.729
2019-01-02 08:00,0.182,0.050,0.158,6.025
2019-01-02 09:00,0.177,0.038,0.165,6.148
2019-01-02 10:00,0.167,0.032,0.161,6.213
2019-01-02 11:00,0.139,0.026,0.138,6.282
2019-01-02 12:00,0.122,0.029,0.118,6.304
2019-01-02 13:00,0.040,0.009,0.053,6.123
2019-01-02 14:00,0,0.001,0.006,5.716
2019-01-02 15:00,0,0,0,5.415
2019-01-02 16:00,0,0,0,5.240
2019-01-02 17:00,0,0,0,5.089
2019-01-02 18:00,0,0,0,4.958
2019-01-02 19:00,0,0,0,4.881
2019-01-02 20:00,0,0,0,4.910
2019-01-02 21:00,0,0,0,4.925
2019-01-02 22:00,0,0,0,4.936
2019-01-02 23:00,0,0,0,4.929
2019-01-03 00:00,0,0,0,4.850
2019-01-03 01:00,0,0,0,4.611
2019-01-03 02:00,0,0,0,4.314
2019-01-03 03:00,0,0,0,3.997
2019-01-03 04:00,0,0,0,3.717
2019-01-03 05:00,0,0,0.003,3.516
2019-01-03 06:00,0.028,0.007,0.041,4.036
2019-01-03 07:00,0.105,0.025,0.103,4.271
2019-01-03 08:00,0.237,0.095,0.168,4.467
2019-01-03 09:00,0.339,0.180,0.193,4.730
2019-01-03 10:00,0.376,0.224,0.189,5.184
2019-01-03 11:00,0.398,0.267,0.172,5.554
2019-01-03 12:00,0.096,0.020,0.100,5.433
2019-01-03 13:00,0.025,0.005,0.041,5.257
2019-01-03 14:00,0,0.002,0.009,4.892
2019-01-03 15:00,0,0,0,4.795
2019-01-03 16:00,0,0,0,4.824
2019-01-03 17:00,0,0,0,4.665
2019-01-03 18:00,0,0,0,4.744
2019-01-03 19:00,0,0,0,4.548
2019-01-03 20:00,0,0,0,4.810
2019-01-03 21:00,0,0,0,4.935
2019-01-03 22:00,0,0,0,5.009
2019-01-03 23:00,0,0,0,5.330
2019-01-04 00:00,0,0,0,5.187
2019-01-04 01:00,0,0,0,4.801
2019-01-04 02:00,0,0,0,4.256
2019-01-04 03:00,0,0,0,3.554
2019-01-04 04:00,0,0,0,2.599
2019-01-04 05:00,0,0,0.002,2.298
2019-01-04 06:00,0.009,0.002,0.024,2.321
2019-01-04 07:00,0.056,0.007,0.070,2.683
2019-01-04 08:00,0.141,0.028,0.137,3.259
2019-01-04 09:00,0.201,0.053,0.173,3.656
2019-01-04 10:00,0.284,0.118,0.194,3.973
2019-01-04 11:00,0.359,0.219,0.174,4.171
2019-01-04 12:00,0.264,0.155,0.136,4.118
2019-01-04 13:00,0.129,0.072,0.081,3.832
2019-01-04 14:00,0.005,0.009,0.013,2.914
2019-01-04 15:00,0,0,0,2.506
2019-01-04 16:00,0,0,0,2.627
2019-01-04 17:00,0,0,0,2.677
2019-01-04 18:00,0,0,0,2.642
2019-01-04 19:00,0,0,0,2.584
2019-01-04 20:00,0,0,0,2.613
2019-01-04 21:00,0,0,0,2.914
2019-01-04 22:00,0,0,0,2.887
2019-01-04 23:00,0,0,0,2.818
2019-01-05 00:00,0,0,0,2.745
2019-01-05 01:00,0,0,0,2.755
2019-01-05 02:00,0,0,0,2.850
2019-01-05 03:00,0,0,0,3.078
2019-01-05 04:00,0,0,0,3.347
2019-01-05 05:00,0,0,0.003,3.390
2019-01-05 06:00,0.008,0.001,0.024,3.077
2019-01-05 07:00,0.033,0.003,0.051,2.631
2019-01-05 08:00,0.078,0.007,0.094,2.933
2019-01-05 09:00,0.126,0.014,0.135,3.420
2019-01-05 10:00,0.133,0.016,0.141,3.729
2019-01-05 11:00,0.111,0.013,0.122,3.966
2019-01-05 12:00,0.086,0.012,0.097,3.997
2019-01-05 13:00,0.037,0.006,0.052,3.854
2019-01-05 14:00,0,0.001,0.007,3.405
2019-01-05 15:00,0,0,0,3.066
2019-01-05 16:00,0,0,0,2.906
2019-01-05 17:00,0,0,0,2.848
