time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int
2019-01-01 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.63,5.1,0
2019-01-01 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.64,5.1,0
2019-01-01 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.76,5.66,0
2019-01-01 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.96,5.86,0
2019-01-01 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.11,5.86,0
2019-01-01 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.21,6.21,0
2019-01-01 06:10:00+00:00,15660.0,3.95,26.57,0.39,5.62,5.41,6.28,0
2019-01-01 07:10:00+00:00,149140.0,66.58,114.62,1.82,13.91,5.06,5.93,0
2019-01-01 08:10:00+00:00,316950.0,177.71,184.87,3.32,20.43,5.6,6.07,0
2019-01-01 09:10:00+00:00,433510.0,269.16,222.11,4.37,24.61,6.06,6.69,0
2019-01-01 10:10:00+00:00,181200.0,30.27,186.32,2.81,25.98,6.46,7.38,0
2019-01-01 11:10:00+00:00,273420.0,108.02,207.9,3.43,24.35,6.79,7.93,0
2019-01-01 12:10:00+00:00,139280.0,28.85,142.41,2.16,19.93,6.96,8.14,0
2019-01-01 13:10:00+00:00,251370.0,175.15,118.79,2.2,13.23,6.87,8.0,0
2019-01-01 14:10:00+00:00,12370.0,4.4,21.87,0.32,4.8,6.68,7.52,0
2019-01-01 15:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.36,7.17,0
2019-01-01 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.13,6.9,0
2019-01-01 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.96,6.62,0
2019-01-01 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.05,6.62,0
2019-01-01 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.62,5.52,0
2019-01-01 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.5,5.1,0
2019-01-01 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.43,4.9,0
2019-01-01 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.45,4.55,0
2019-01-01 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.47,4.41,0
2019-01-02 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.45,4.28,0
2019-01-02 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.46,4.0,0
2019-01-02 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.41,4.07,0
2019-01-02 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.4,4.0,0
2019-01-02 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.24,3.86,0
2019-01-02 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.19,3.66,0
2019-01-02 06:10:00+00:00,40.0,0.0,5.6,0.08,5.62,5.3,3.38,0
2019-01-02 07:10:00+00:00,36180.0,0.0,55.95,0.8,13.93,5.98,4.0,0
2019-01-02 08:10:00+00:00,40850.0,0.0,61.55,0.88,20.47,6.26,4.41,0
2019-01-02 09:10:00+00:00,58500.0,0.0,82.07,1.18,24.68,6.39,4.76,0
2019-01-02 10:10:00+00:00,39990.0,0.0,60.62,0.87,26.07,6.61,4.76,0
2019-01-02 11:10:00+00:00,47900.0,0.0,69.94,1.0,24.45,6.72,4.34,0
2019-01-02 12:10:00+00:00,33700.0,0.0,53.16,0.76,20.05,6.78,4.0,0
2019-01-02 13:10:00+00:00,18730.0,0.0,34.51,0.5,13.36,6.82,4.07,0
2019-01-02 14:10:00+00:00,1230.0,0.0,8.39,0.12,4.93,6.64,3.79,0
2019-01-02 15:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.4,3.59,0
2019-01-02 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.22,3.59,0
2019-01-02 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.11,3.59,0
2019-01-02 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.05,3.66,0
2019-01-02 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.02,3.24,0
2019-01-02 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.81,3.17,0
2019-01-02 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.72,2.97,0
2019-01-02 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.74,2.83,0
2019-01-02 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.7,2.76,0
2019-01-03 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.59,2.83,0
2019-01-03 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.57,2.83,0
2019-01-03 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.54,3.1,0
2019-01-03 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.44,3.38,0
